create log ==> ../tumor_data/classification_train_dataset/log_03302255auto/log_03302255.txt
========================================================
 BACKBONE : autoencoder
========================================================
MODEL SETTING
python version : 3.7.5 (default, Oct 25 2019, 15:51:11)  [GCC 7.3.0]
torch  version : 1.3.1
cudnn  version : 7603
========================================================
teacher backbone : autoencoder
dataset : tumor
batch size : 128
epochs : 500
========================================================
Save model | best loss : 0.0184
epoch:066 | step:129 | train loss:0.0083
epoch:067 | step:129 | train loss:0.0109
epoch:068 | step:129 | train loss:0.0091
epoch:069 | step:129 | train loss:0.0113
epoch:070 | step:129 | train loss:0.0088
epoch:071 | step:129 | train loss:0.0101
epoch:072 | step:129 | train loss:0.0097
epoch:073 | step:129 | train loss:0.0091
epoch:074 | step:129 | train loss:0.0089
epoch:075 | step:129 | train loss:0.0084
epoch:076 | step:129 | train loss:0.0093
epoch:077 | step:129 | train loss:0.0087
epoch:078 | step:129 | train loss:0.0093
epoch:079 | step:129 | train loss:0.0086
epoch:080 | step:129 | train loss:0.0105
epoch:081 | step:129 | train loss:0.0134
epoch:082 | step:129 | train loss:0.0129
epoch:083 | step:129 | train loss:0.0088
epoch:084 | step:129 | train loss:0.0096
epoch:085 | step:129 | train loss:0.0107
epoch:086 | step:129 | train loss:0.0093
epoch:087 | step:129 | train loss:0.0122
epoch:088 | step:129 | train loss:0.0120
epoch:089 | step:129 | train loss:0.0137
epoch:090 | step:129 | train loss:0.0084
epoch:091 | step:129 | train loss:0.0082
epoch:092 | step:129 | train loss:0.0160
epoch:093 | step:129 | train loss:0.0085
epoch:094 | step:129 | train loss:0.0094
epoch:095 | step:129 | train loss:0.0149
epoch:096 | step:129 | train loss:0.0099
epoch:097 | step:129 | train loss:0.0083
epoch:098 | step:129 | train loss:0.0096
epoch:099 | step:129 | train loss:0.0108
epoch:100 | step:129 | train loss:0.0086
epoch:101 | step:129 | train loss:0.0166
epoch:102 | step:129 | train loss:0.0126
epoch:103 | step:129 | train loss:0.0100
epoch:104 | step:129 | train loss:0.0108
epoch:105 | step:129 | train loss:0.0086
epoch:106 | step:129 | train loss:0.0088
epoch:107 | step:129 | train loss:0.0174
epoch:108 | step:129 | train loss:0.0083
epoch:109 | step:129 | train loss:0.0097
epoch:110 | step:129 | train loss:0.0086
epoch:111 | step:129 | train loss:0.0090
epoch:112 | step:129 | train loss:0.0084
epoch:113 | step:129 | train loss:0.0090
epoch:114 | step:129 | train loss:0.0205
epoch:115 | step:129 | train loss:0.0163
epoch:116 | step:129 | train loss:0.0096
epoch:117 | step:129 | train loss:0.0163
epoch:118 | step:129 | train loss:0.0116
epoch:119 | step:129 | train loss:0.0093
epoch:120 | step:129 | train loss:0.0097
epoch:121 | step:129 | train loss:0.0097
epoch:122 | step:129 | train loss:0.0099
epoch:123 | step:129 | train loss:0.0096
epoch:124 | step:129 | train loss:0.0108
epoch:125 | step:129 | train loss:0.0095
epoch:126 | step:129 | train loss:0.0098
epoch:127 | step:129 | train loss:0.0083
epoch:128 | step:129 | train loss:0.0098
Save model | best loss : 0.0078
epoch:129 | step:129 | train loss:0.0078
epoch:130 | step:129 | train loss:0.0095
epoch:131 | step:129 | train loss:0.0105
epoch:132 | step:129 | train loss:0.0082
epoch:133 | step:129 | train loss:0.0094
epoch:134 | step:129 | train loss:0.0133
epoch:135 | step:129 | train loss:0.0087
epoch:136 | step:129 | train loss:0.0100
epoch:137 | step:129 | train loss:0.0100
epoch:138 | step:129 | train loss:0.0107
epoch:139 | step:129 | train loss:0.0100
epoch:140 | step:129 | train loss:0.0086
epoch:141 | step:129 | train loss:0.0087
epoch:142 | step:129 | train loss:0.0080
epoch:143 | step:129 | train loss:0.0137
epoch:144 | step:129 | train loss:0.0102
epoch:145 | step:129 | train loss:0.0091
Save model | best loss : 0.0077
epoch:146 | step:129 | train loss:0.0077
epoch:147 | step:129 | train loss:0.0083
epoch:148 | step:129 | train loss:0.0090
epoch:149 | step:129 | train loss:0.0093
epoch:150 | step:129 | train loss:0.0096
epoch:151 | step:129 | train loss:0.0094
epoch:152 | step:129 | train loss:0.0095
epoch:153 | step:129 | train loss:0.0106
epoch:154 | step:129 | train loss:0.0102
epoch:155 | step:129 | train loss:0.0086
epoch:156 | step:129 | train loss:0.0096
epoch:157 | step:129 | train loss:0.0090
epoch:158 | step:129 | train loss:0.0112
epoch:159 | step:129 | train loss:0.0101
epoch:160 | step:129 | train loss:0.0086
epoch:161 | step:129 | train loss:0.0077
epoch:162 | step:129 | train loss:0.0089
epoch:163 | step:129 | train loss:0.0088
Save model | best loss : 0.0075
epoch:164 | step:129 | train loss:0.0075
epoch:165 | step:129 | train loss:0.0103
epoch:166 | step:129 | train loss:0.0089
epoch:167 | step:129 | train loss:0.0110
epoch:168 | step:129 | train loss:0.0092
epoch:169 | step:129 | train loss:0.0115
epoch:170 | step:129 | train loss:0.0077
epoch:171 | step:129 | train loss:0.0125
epoch:172 | step:129 | train loss:0.0103
epoch:173 | step:129 | train loss:0.0080
epoch:174 | step:129 | train loss:0.0097
epoch:175 | step:129 | train loss:0.0095
epoch:176 | step:129 | train loss:0.0089
epoch:177 | step:129 | train loss:0.0089
epoch:178 | step:129 | train loss:0.0078
epoch:179 | step:129 | train loss:0.0093
epoch:180 | step:129 | train loss:0.0116
epoch:181 | step:129 | train loss:0.0104
epoch:182 | step:129 | train loss:0.0085
epoch:183 | step:129 | train loss:0.0088
epoch:184 | step:129 | train loss:0.0081
epoch:185 | step:129 | train loss:0.0079
epoch:186 | step:129 | train loss:0.0107
epoch:187 | step:129 | train loss:0.0082
epoch:188 | step:129 | train loss:0.0096
epoch:189 | step:129 | train loss:0.0092
epoch:190 | step:129 | train loss:0.0096
epoch:191 | step:129 | train loss:0.0094
epoch:192 | step:129 | train loss:0.0084
epoch:193 | step:129 | train loss:0.0111
epoch:194 | step:129 | train loss:0.0120
epoch:195 | step:129 | train loss:0.0092
epoch:196 | step:129 | train loss:0.0088
epoch:197 | step:129 | train loss:0.0169
epoch:198 | step:129 | train loss:0.0108
epoch:199 | step:129 | train loss:0.0104
epoch:200 | step:129 | train loss:0.0098
epoch:201 | step:129 | train loss:0.0087
epoch:202 | step:129 | train loss:0.0081
epoch:203 | step:129 | train loss:0.0109
epoch:204 | step:129 | train loss:0.0097
epoch:205 | step:129 | train loss:0.0086
epoch:206 | step:129 | train loss:0.0082
epoch:207 | step:129 | train loss:0.0093
epoch:208 | step:129 | train loss:0.0130
epoch:209 | step:129 | train loss:0.0094
epoch:210 | step:129 | train loss:0.0115
epoch:211 | step:129 | train loss:0.0137
epoch:212 | step:129 | train loss:0.0094
epoch:213 | step:129 | train loss:0.0080
epoch:214 | step:129 | train loss:0.0111
epoch:215 | step:129 | train loss:0.0095
epoch:216 | step:129 | train loss:0.0090
epoch:217 | step:129 | train loss:0.0102
epoch:218 | step:129 | train loss:0.0103
epoch:219 | step:129 | train loss:0.0107
epoch:220 | step:129 | train loss:0.0096
epoch:221 | step:129 | train loss:0.0117
epoch:222 | step:129 | train loss:0.0085
epoch:223 | step:129 | train loss:0.0105
epoch:224 | step:129 | train loss:0.0114
epoch:225 | step:129 | train loss:0.0095
epoch:226 | step:129 | train loss:0.0123
epoch:227 | step:129 | train loss:0.0103
epoch:228 | step:129 | train loss:0.0102
epoch:229 | step:129 | train loss:0.0090
epoch:230 | step:129 | train loss:0.0083
epoch:231 | step:129 | train loss:0.0078
epoch:232 | step:129 | train loss:0.0096
epoch:233 | step:129 | train loss:0.0096
epoch:234 | step:129 | train loss:0.0076
epoch:235 | step:129 | train loss:0.0101
epoch:236 | step:129 | train loss:0.0098
epoch:237 | step:129 | train loss:0.0088
epoch:238 | step:129 | train loss:0.0090
epoch:239 | step:129 | train loss:0.0086
epoch:240 | step:129 | train loss:0.0091
epoch:241 | step:129 | train loss:0.0104
epoch:242 | step:129 | train loss:0.0107
epoch:243 | step:129 | train loss:0.0105
epoch:244 | step:129 | train loss:0.0094
epoch:245 | step:129 | train loss:0.0096
epoch:246 | step:129 | train loss:0.0094
epoch:247 | step:129 | train loss:0.0080
epoch:248 | step:129 | train loss:0.0121
epoch:249 | step:129 | train loss:0.0110
epoch:250 | step:129 | train loss:0.0081
epoch:251 | step:129 | train loss:0.0087
epoch:252 | step:129 | train loss:0.0088
epoch:253 | step:129 | train loss:0.0109
epoch:254 | step:129 | train loss:0.0077
epoch:255 | step:129 | train loss:0.0102
epoch:256 | step:129 | train loss:0.0096
epoch:257 | step:129 | train loss:0.0090
epoch:258 | step:129 | train loss:0.0084
epoch:259 | step:129 | train loss:0.0088
epoch:260 | step:129 | train loss:0.0081
epoch:261 | step:129 | train loss:0.0094
epoch:262 | step:129 | train loss:0.0089
epoch:263 | step:129 | train loss:0.0079
epoch:264 | step:129 | train loss:0.0112
epoch:265 | step:129 | train loss:0.0088
epoch:266 | step:129 | train loss:0.0104
epoch:267 | step:129 | train loss:0.0085
epoch:268 | step:129 | train loss:0.0113
epoch:269 | step:129 | train loss:0.0082
epoch:270 | step:129 | train loss:0.0089
epoch:271 | step:129 | train loss:0.0108
epoch:272 | step:129 | train loss:0.0104
epoch:273 | step:129 | train loss:0.0093
epoch:274 | step:129 | train loss:0.0081
epoch:275 | step:129 | train loss:0.0084
epoch:276 | step:129 | train loss:0.0097
epoch:277 | step:129 | train loss:0.0089
epoch:278 | step:129 | train loss:0.0083
epoch:279 | step:129 | train loss:0.0086
epoch:280 | step:129 | train loss:0.0082
epoch:281 | step:129 | train loss:0.0086
epoch:282 | step:129 | train loss:0.0095
epoch:283 | step:129 | train loss:0.0086
epoch:284 | step:129 | train loss:0.0081
epoch:285 | step:129 | train loss:0.0090
epoch:286 | step:129 | train loss:0.0083
epoch:287 | step:129 | train loss:0.0090
epoch:288 | step:129 | train loss:0.0079
epoch:289 | step:129 | train loss:0.0093
epoch:290 | step:129 | train loss:0.0085
epoch:291 | step:129 | train loss:0.0088
epoch:292 | step:129 | train loss:0.0082
epoch:293 | step:129 | train loss:0.0084
epoch:294 | step:129 | train loss:0.0084
epoch:295 | step:129 | train loss:0.0087
epoch:296 | step:129 | train loss:0.0094
epoch:297 | step:129 | train loss:0.0084
epoch:298 | step:129 | train loss:0.0087
epoch:299 | step:129 | train loss:0.0089
epoch:300 | step:129 | train loss:0.0093
epoch:301 | step:129 | train loss:0.0078
epoch:302 | step:129 | train loss:0.0086
epoch:303 | step:129 | train loss:0.0080
epoch:304 | step:129 | train loss:0.0083
epoch:305 | step:129 | train loss:0.0091
epoch:306 | step:129 | train loss:0.0088
epoch:307 | step:129 | train loss:0.0088
epoch:308 | step:129 | train loss:0.0080
epoch:309 | step:129 | train loss:0.0078
epoch:310 | step:129 | train loss:0.0085
epoch:311 | step:129 | train loss:0.0118
epoch:312 | step:129 | train loss:0.0099
epoch:313 | step:129 | train loss:0.0087
epoch:314 | step:129 | train loss:0.0091
epoch:315 | step:129 | train loss:0.0089
epoch:316 | step:129 | train loss:0.0099
epoch:317 | step:129 | train loss:0.0105
epoch:318 | step:129 | train loss:0.0097
epoch:319 | step:129 | train loss:0.0085
epoch:320 | step:129 | train loss:0.0092
epoch:321 | step:129 | train loss:0.0085
epoch:322 | step:129 | train loss:0.0089
epoch:323 | step:129 | train loss:0.0078
epoch:324 | step:129 | train loss:0.0082
Save model | best loss : 0.0072
epoch:325 | step:129 | train loss:0.0072
epoch:326 | step:129 | train loss:0.0084
epoch:327 | step:129 | train loss:0.0074
epoch:328 | step:129 | train loss:0.0096
epoch:329 | step:129 | train loss:0.0090
epoch:330 | step:129 | train loss:0.0089
Save model | best loss : 0.0071
epoch:331 | step:129 | train loss:0.0071
epoch:332 | step:129 | train loss:0.0089
epoch:333 | step:129 | train loss:0.0090
epoch:334 | step:129 | train loss:0.0093
epoch:335 | step:129 | train loss:0.0072
epoch:336 | step:129 | train loss:0.0089
epoch:337 | step:129 | train loss:0.0078
epoch:338 | step:129 | train loss:0.0082
epoch:339 | step:129 | train loss:0.0082
epoch:340 | step:129 | train loss:0.0111
epoch:341 | step:129 | train loss:0.0099
epoch:342 | step:129 | train loss:0.0092
epoch:343 | step:129 | train loss:0.0098
epoch:344 | step:129 | train loss:0.0081
epoch:345 | step:129 | train loss:0.0083
epoch:346 | step:129 | train loss:0.0098
epoch:347 | step:129 | train loss:0.0078
epoch:348 | step:129 | train loss:0.0087
epoch:349 | step:129 | train loss:0.0080
epoch:350 | step:129 | train loss:0.0079
epoch:351 | step:129 | train loss:0.0076
epoch:352 | step:129 | train loss:0.0079
epoch:353 | step:129 | train loss:0.0086
epoch:354 | step:129 | train loss:0.0078
epoch:355 | step:129 | train loss:0.0090
epoch:356 | step:129 | train loss:0.0085
epoch:357 | step:129 | train loss:0.0084
epoch:358 | step:129 | train loss:0.0074
epoch:359 | step:129 | train loss:0.0080
epoch:360 | step:129 | train loss:0.0082
epoch:361 | step:129 | train loss:0.0096
epoch:362 | step:129 | train loss:0.0086
epoch:363 | step:129 | train loss:0.0071
epoch:364 | step:129 | train loss:0.0076
epoch:365 | step:129 | train loss:0.0079
epoch:366 | step:129 | train loss:0.0086
epoch:367 | step:129 | train loss:0.0104
epoch:368 | step:129 | train loss:0.0094
epoch:369 | step:129 | train loss:0.0086
epoch:370 | step:129 | train loss:0.0105
epoch:371 | step:129 | train loss:0.0086
epoch:372 | step:129 | train loss:0.0076
epoch:373 | step:129 | train loss:0.0081
epoch:374 | step:129 | train loss:0.0085
epoch:375 | step:129 | train loss:0.0073
epoch:376 | step:129 | train loss:0.0078
epoch:377 | step:129 | train loss:0.0080
epoch:378 | step:129 | train loss:0.0081
epoch:379 | step:129 | train loss:0.0077
epoch:380 | step:129 | train loss:0.0083
epoch:381 | step:129 | train loss:0.0104
epoch:382 | step:129 | train loss:0.0080
epoch:383 | step:129 | train loss:0.0086
epoch:384 | step:129 | train loss:0.0084
epoch:385 | step:129 | train loss:0.0081
epoch:386 | step:129 | train loss:0.0083
epoch:387 | step:129 | train loss:0.0080
epoch:388 | step:129 | train loss:0.0079
epoch:389 | step:129 | train loss:0.0099
epoch:390 | step:129 | train loss:0.0080
epoch:391 | step:129 | train loss:0.0080
epoch:392 | step:129 | train loss:0.0084
epoch:393 | step:129 | train loss:0.0086
epoch:394 | step:129 | train loss:0.0094
epoch:395 | step:129 | train loss:0.0094
epoch:396 | step:129 | train loss:0.0082
epoch:397 | step:129 | train loss:0.0089
epoch:398 | step:129 | train loss:0.0085
epoch:399 | step:129 | train loss:0.0084
epoch:400 | step:129 | train loss:0.0088
epoch:401 | step:129 | train loss:0.0078
epoch:402 | step:129 | train loss:0.0099
epoch:403 | step:129 | train loss:0.0077
epoch:404 | step:129 | train loss:0.0087
epoch:405 | step:129 | train loss:0.0077
epoch:406 | step:129 | train loss:0.0095
epoch:407 | step:129 | train loss:0.0093
epoch:408 | step:129 | train loss:0.0088
epoch:409 | step:129 | train loss:0.0088
epoch:410 | step:129 | train loss:0.0084
epoch:411 | step:129 | train loss:0.0091
epoch:412 | step:129 | train loss:0.0083
epoch:413 | step:129 | train loss:0.0088
epoch:414 | step:129 | train loss:0.0094
epoch:415 | step:129 | train loss:0.0085
epoch:416 | step:129 | train loss:0.0087
epoch:417 | step:129 | train loss:0.0090
epoch:418 | step:129 | train loss:0.0087
epoch:419 | step:129 | train loss:0.0091
epoch:420 | step:129 | train loss:0.0091
epoch:421 | step:129 | train loss:0.0091
epoch:422 | step:129 | train loss:0.0088
epoch:423 | step:129 | train loss:0.0074
epoch:424 | step:129 | train loss:0.0085
epoch:425 | step:129 | train loss:0.0083
epoch:426 | step:129 | train loss:0.0087
epoch:427 | step:129 | train loss:0.0086
epoch:428 | step:129 | train loss:0.0085
epoch:429 | step:129 | train loss:0.0089
epoch:430 | step:129 | train loss:0.0091
epoch:431 | step:129 | train loss:0.0082
epoch:432 | step:129 | train loss:0.0081
epoch:433 | step:129 | train loss:0.0085
epoch:434 | step:129 | train loss:0.0079
epoch:435 | step:129 | train loss:0.0085
epoch:436 | step:129 | train loss:0.0073
epoch:437 | step:129 | train loss:0.0086
epoch:438 | step:129 | train loss:0.0079
epoch:439 | step:129 | train loss:0.0084
epoch:440 | step:129 | train loss:0.0084
epoch:441 | step:129 | train loss:0.0092
epoch:442 | step:129 | train loss:0.0088
epoch:443 | step:129 | train loss:0.0089
epoch:444 | step:129 | train loss:0.0087
epoch:445 | step:129 | train loss:0.0075
epoch:446 | step:129 | train loss:0.0079
epoch:447 | step:129 | train loss:0.0080
epoch:448 | step:129 | train loss:0.0089
epoch:449 | step:129 | train loss:0.0083
epoch:450 | step:129 | train loss:0.0077
epoch:451 | step:129 | train loss:0.0077
epoch:452 | step:129 | train loss:0.0079
epoch:453 | step:129 | train loss:0.0088
epoch:454 | step:129 | train loss:0.0080
epoch:455 | step:129 | train loss:0.0104
epoch:456 | step:129 | train loss:0.0087
epoch:457 | step:129 | train loss:0.0097
epoch:458 | step:129 | train loss:0.0079
epoch:459 | step:129 | train loss:0.0082
epoch:460 | step:129 | train loss:0.0091
epoch:461 | step:129 | train loss:0.0082
epoch:462 | step:129 | train loss:0.0087
epoch:463 | step:129 | train loss:0.0087
epoch:464 | step:129 | train loss:0.0089
epoch:465 | step:129 | train loss:0.0089
epoch:466 | step:129 | train loss:0.0081
epoch:467 | step:129 | train loss:0.0095
epoch:468 | step:129 | train loss:0.0092
epoch:469 | step:129 | train loss:0.0088
epoch:470 | step:129 | train loss:0.0084
epoch:471 | step:129 | train loss:0.0093
epoch:472 | step:129 | train loss:0.0086
epoch:473 | step:129 | train loss:0.0096
epoch:474 | step:129 | train loss:0.0084
epoch:475 | step:129 | train loss:0.0082
epoch:476 | step:129 | train loss:0.0109
epoch:477 | step:129 | train loss:0.0089
epoch:478 | step:129 | train loss:0.0088
epoch:479 | step:129 | train loss:0.0087
epoch:480 | step:129 | train loss:0.0091
epoch:481 | step:129 | train loss:0.0071
epoch:482 | step:129 | train loss:0.0095
epoch:483 | step:129 | train loss:0.0085
epoch:484 | step:129 | train loss:0.0076
epoch:485 | step:129 | train loss:0.0072
epoch:486 | step:129 | train loss:0.0092
epoch:487 | step:129 | train loss:0.0086
epoch:488 | step:129 | train loss:0.0073
epoch:489 | step:129 | train loss:0.0086
epoch:490 | step:129 | train loss:0.0079
epoch:491 | step:129 | train loss:0.0086
epoch:492 | step:129 | train loss:0.0080
epoch:493 | step:129 | train loss:0.0087
epoch:494 | step:129 | train loss:0.0080
epoch:495 | step:129 | train loss:0.0082
epoch:496 | step:129 | train loss:0.0084
Save model | best loss : 0.0070
epoch:497 | step:129 | train loss:0.0070
epoch:498 | step:129 | train loss:0.0088
epoch:499 | step:129 | train loss:0.0078
